会社名,四半期,区分,科目,前期末,当期末
アルファ工業,2023Q4,BS,現金及び預金,17700,23400
アルファ工業,2023Q4,BS,預け金,10200,11000
アルファ工業,2023Q4,BS,営業債権,21400,24500
アルファ工業,2023Q4,BS,棚卸資産,7100,7300
アルファ工業,2023Q4,BS,その他流動資産,2100,2400
アルファ工業,2023Q4,BS,有形固定資産(純額),34100,34400
アルファ工業,2023Q4,BS,投資その他の資産,8200,9500
アルファ工業,2023Q4,BS,営業債務,16600,18900
アルファ工業,2023Q4,BS,短期借入金,2400,5000
アルファ工業,2023Q4,BS,その他流動負債,2900,2100
アルファ工業,2023Q4,BS,長期借入金,23700,25000
アルファ工業,2023Q4,BS,その他固定負債,1400,1500
アルファ工業,2023Q4,BS,退職給付引当金,2800,2700
アルファ工業,2023Q4,BS,純資産合計,51000,57300
アルファ工業,2023Q4,PL,売上高,,79700
アルファ工業,2023Q4,PL,営業利益,,11700
アルファ工業,2023Q4,PL,税引前当期純利益,,11000
アルファ工業,2023Q4,PL,減価償却費,,2300
アルファ工業,2023Q4,PL,受取利息及び受取配当金,,200
アルファ工業,2023Q4,PL,支払利息,,900
アルファ工業,2023Q4,PL,法人税等,,3500
アルファ工業,2023Q4,SS,自己株式の取得,,1200
アルファ工業,2024Q1,BS,現金及び預金,,33800
アルファ工業,2024Q1,BS,預け金,,10300
アルファ工業,2024Q1,BS,営業債権,,23600
アルファ工業,2024Q1,BS,棚卸資産,,7300
アルファ工業,2024Q1,BS,その他流動資産,,2100
アルファ工業,2024Q1,BS,有形固定資産(純額),,34300
アルファ工業,2024Q1,BS,投資その他の資産,,8900
アルファ工業,2024Q1,BS,営業債務,,20900
アルファ工業,2024Q1,BS,短期借入金,,7000
アルファ工業,2024Q1,BS,その他流動負債,,2200
アルファ工業,2024Q1,BS,長期借入金,,27400
アルファ工業,2024Q1,BS,その他固定負債,,1500
アルファ工業,2024Q1,BS,退職給付引当金,,2800
アルファ工業,2024Q1,BS,純資産合計,,58500
アルファ工業,2024Q1,PL,売上高,,79000
アルファ工業,2024Q1,PL,営業利益,,2600
アルファ工業,2024Q1,PL,税引前当期純利益,,2300
アルファ工業,2024Q1,PL,減価償却費,,1700
アルファ工業,2024Q1,PL,受取利息及び受取配当金,,400
アルファ工業,2024Q1,PL,支払利息,,700
アルファ工業,2024Q1,PL,法人税等,,700
アルファ工業,2024Q1,SS,剰余金の配当(配当金の支払額),,400
アルファ工業,2024Q2,BS,現金及び預金,,37200
アルファ工業,2024Q2,BS,預け金,,10400
アルファ工業,2024Q2,BS,営業債権,,22400
アルファ工業,2024Q2,BS,棚卸資産,,6100
アルファ工業,2024Q2,BS,その他流動資産,,1800
アルファ工業,2024Q2,BS,有形固定資産(純額),,38400
アルファ工業,2024Q2,BS,投資その他の資産,,8100
アルファ工業,2024Q2,BS,営業債務,,22800
アルファ工業,2024Q2,BS,短期借入金,,9200
アルファ工業,2024Q2,BS,その他流動負債,,2400
アルファ工業,2024Q2,BS,長期借入金,,29400
アルファ工業,2024Q2,BS,その他固定負債,,900
アルファ工業,2024Q2,BS,退職給付引当金,,3400
アルファ工業,2024Q2,BS,純資産合計,,56300
アルファ工業,2024Q2,PL,売上高,,79300
アルファ工業,2024Q2,PL,営業利益,,-1200
アルファ工業,2024Q2,PL,税引前当期純利益,,-2200
アルファ工業,2024Q2,PL,減価償却費,,1800
アルファ工業,2024Q2,PL,受取利息及び受取配当金,,100
アルファ工業,2024Q2,PL,支払利息,,1100
アルファ工業,2024Q3,BS,現金及び預金,,43600
アルファ工業,2024Q3,BS,預け金,,8700
アルファ工業,2024Q3,BS,営業債権,,24800
アルファ工業,2024Q3,BS,棚卸資産,,4100
アルファ工業,2024Q3,BS,その他流動資産,,1500
アルファ工業,2024Q3,BS,有形固定資産(純額),,39500
アルファ工業,2024Q3,BS,投資その他の資産,,8000
アルファ工業,2024Q3,BS,営業債務,,24200
アルファ工業,2024Q3,BS,短期借入金,,9000
アルファ工業,2024Q3,BS,その他流動負債,,2000
アルファ工業,2024Q3,BS,長期借入金,,30600
アルファ工業,2024Q3,BS,その他固定負債,,1400
アルファ工業,2024Q3,BS,退職給付引当金,,3900
アルファ工業,2024Q3,BS,純資産合計,,59100
アルファ工業,2024Q3,PL,売上高,,80200
アルファ工業,2024Q3,PL,営業利益,,4600
アルファ工業,2024Q3,PL,税引前当期純利益,,4100
アルファ工業,2024Q3,PL,減価償却費,,4800
アルファ工業,2024Q3,PL,受取利息及び受取配当金,,100
アルファ工業,2024Q3,PL,支払利息,,600
アルファ工業,2024Q3,PL,法人税等,,1300
アルファ工業,2024Q4,BS,現金及び預金,,41200
アルファ工業,2024Q4,BS,預け金,,7200
アルファ工業,2024Q4,BS,営業債権,,24100
アルファ工業,2024Q4,BS,棚卸資産,,3900
アルファ工業,2024Q4,BS,その他流動資産,,2300
アルファ工業,2024Q4,BS,有形固定資産(純額),,41900
アルファ工業,2024Q4,BS,投資その他の資産,,8500
アルファ工業,2024Q4,BS,営業債務,,25000
アルファ工業,2024Q4,BS,短期借入金,,10600
アルファ工業,2024Q4,BS,その他流動負債,,3200
アルファ工業,2024Q4,BS,長期借入金,,28000
アルファ工業,2024Q4,BS,その他固定負債,,1000
アルファ工業,2024Q4,BS,退職給付引当金,,3700
アルファ工業,2024Q4,BS,純資産合計,,57600
アルファ工業,2024Q4,PL,売上高,,81000
アルファ工業,2024Q4,PL,営業利益,,-1000
アルファ工業,2024Q4,PL,税引前当期純利益,,-1500
アルファ工業,2024Q4,PL,減価償却費,,2800
アルファ工業,2024Q4,PL,受取利息及び受取配当金,,400
アルファ工業,2024Q4,PL,支払利息,,900
アルファ工業,2025Q1,BS,現金及び預金,,45300
アルファ工業,2025Q1,BS,預け金,,7500
アルファ工業,2025Q1,BS,営業債権,,26400
アルファ工業,2025Q1,BS,棚卸資産,,4900
アルファ工業,2025Q1,BS,その他流動資産,,2700
アルファ工業,2025Q1,BS,有形固定資産(純額),,40800
アルファ工業,2025Q1,BS,投資その他の資産,,8300
アルファ工業,2025Q1,BS,営業債務,,27900
アルファ工業,2025Q1,BS,短期借入金,,10700
